UN_Region,Year,Population,E_Waste_kg_per_capita,Total_E_Waste_metric_tons,Recycling_Rate_percent,Formal_Collection_Rate_percent,Informal_Processing_percent,Hazardous_Content_percent,Landfill_Rate_percent,Export_Rate_percent,E_Waste_Policy_Index,GDP_per_capita_USD,Urbanization_Rate_percent
Northern Africa,2023,123503668,19.5,2408321.53,10.43,3.17,4.23,27.4,32.49,22.15,0.314,25475.94,77.01
Southern Asia,2024,181621247,10.29,1868882.63,14.07,4.78,20.63,13.5,65.53,16.54,0.908,4728.23,64.36
South-Eastern Asia,2020,106633965,20.67,2204124.06,79.78,60.19,48.45,14.33,34.88,29.99,0.763,53519.99,68.26
South-Eastern Asia,2021,190649981,19,3622349.64,84.6,78.22,68.43,22.64,23.71,8.78,0.926,75455.33,46.6
Northern Africa,2022,9737038,11.57,112657.53,76.17,75.14,64.14,16.33,34.41,24.68,0.358,70407.9,27.51
Europe ,2024,33647321,27.4,921936.6,84.18,61.64,3.83,14.56,31.09,12.4,0.835,unknown,29.2
Europe,2020,28032577,11.94,334708.97,50.82,32.93,51.3,31.22,25.11,26.7,0.37,,72.14
Latin America and the Caribbean,2023,84786851,14.54,1232800.81,64.94,11.31,1.76,14.17,67.28,11.96,0.515,69905.53,69.65
South-Eastern Asia,2024,96211059,22.09,2125302.29,31.05,24.6,14.63,13.36,50.32,26.35,0.908,60908.3,15.48
Oceania,2024,197274906,2.32,457677.78,,37.49,52.23,14.75,32.13,15.2,0.311,9834.27,38.36
Europe ,2021,229600277,8.61,1976858.38,12.99,10.67,82.82,26.14,43.15,10.21,0.562,76010.45,57.42
Europe,2024,45394089,23.25,1055412.57,65.2,33.33,30.57,20.84,62.17,3.61,0.18,1652.68,67.75
South-Eastern Asia,2024,7775014,24.09,187300.09,44.83,30.1,69.23,39.1,25.83,28.96,0.84,unknown,40.9
Northern Africa,2024,219332099,4.35,954094.63,40.37,34.24,77.2,39.07,52,9.1,0.358,78926.95,32.33
Latin America and the Caribbean,2022,123381321,12.99,1602723.36,48.52,31.51,65.08,17.16,8.21,24.39,0.442,72082.96,38.35
Oceania,2020,119873262,10.66,1277848.97,40.01,19.8,16.09,10.51,33.18,26.28,0.316,13469.42,56.87
Western Asia,2021,84842684,18.18,1542440,8.77,8.75,43.83,38.79,53.83,30.52,0.578,61414.91,30.54
Southern Asia,2021,136303213,22.49,3065459.26,65.96,53.57,63.45,10.44,15.26,16.52,0.858,79812.85,76.97
Northern Africa,2022,249487020,14.45,3605087.44,78.76,77.88,84.52,29.99,55.07,16.71,0.512,5063.79,61.93
Oceania,2023,48939217,26.2,1282207.49,150,19.34,17.8,20.37,9.61,33.89,0.534,19409.1,26.96
Europe,2020,147659915,19.02,2808491.58,64.75,57.52,95.12,37.82,39.3,33.47,0.976,62338.72,61.61
Central Asia,2024,113681450,23.68,2691976.74,37.81,31.9,23.75,12.42,36.52,20.98,0.241,39057.23,18.32
Western Asia,2024,181623505,12.07,2192195.71,63.89,36.95,66.2,32.77,36.96,18.19,0.355,71681.2,53.65
Oceania,2020,232873190,16.17,3765559.48,23.26,20.09,41.85,13.89,50.14,4.22,0.703,79598.72,47.96
South-Eastern Asia,2020,221650949,11.53,2555635.44,30.33,13.23,7.25,21.33,23.53,6.06,0.92,,68.37
Eastern Asia,2024,197378480,25.29,4991701.76,73.86,46.92,62.39,32.87,29.34,17.93,0.253,34686.48,77.06
Europe ,2023,40869105,10.87,444247.17,55.58,29.67,19.93,28.83,52.74,0.67,0.087,20588.81,
Sub-Saharan Africa,2021,38956343,7.97,310482.05,34.14,28,7.38,23.96,27.23,12.68,0.214,,31.37
Oceania,2021,70439160,11.48,808641.56,47.32,17.98,58.88,30.85,40.27,3.17,0.225,58120.35,76.99
Oceania,2021,149772321,22.2,3324945.53,73.79,30.52,94.02,20.93,18.54,24.39,0.924,5374.26,24.69
Eastern Asia,2020,242112210,6.1,1476884.48,38.88,34.74,74.55,20.82,30.54,13.83,0.697,69559.43,
Southern Asia,2022,95157962,20.77,1976430.87,28.07,17.21,44.36,12.48,33.61,8.69,0.211,2154.64,80.88
Sub-Saharan Africa,2024,47757072,26.63,1271770.83,,15.91,25.35,24.86,23.96,8.7,0.834,7502.53,49.08
Sub-Saharan Africa,2023,234494689,12.4,2907734.14,52.04,22,83.67,14.79,30.92,14.82,0.423,58210.42,43.06
Western Asia,2021,14054521,19.32,271533.35,28.33,6.16,58.11,31.38,32.89,10.31,0.13,6889.32,59.65
Western Asia,2022,148196777,15.59,2310387.75,7.24,5.31,31.53,38.49,30.21,4,0.409,33222.39,37.5
Europe,2023,243454796,17.74,4318888.08,55.28,36.98,43.23,28.89,45.98,15.79,0.739,18290.45,23.5
Southern Asia,2022,116958495,7.9,923972.11,31.97,17.68,79.28,13.38,61.81,14.13,0.354,66819.22,75.74
Northern Africa,2023,132757698,10.21,1355456.1,36.31,27.79,24.54,13.32,37.4,14.53,0.775,63508.77,61.92
Europe,2024,40251488,-6.72,270490,43.34,29.71,37.55,23.36,27.76,8.75,0.389,50101.89,32.23
South-Eastern Asia,2022,167916597,13.38,2246724.07,47.95,18.96,95.09,15.52,20.49,19.02,0.071,42808.6,49.65
Western Asia,2020,249482576,12.45,3106058.07,28.04,15.56,87.84,11.34,7.49,5.52,0.455,29775.22,26.82
South-Eastern Asia,2021,221778467,5.45,1208692.65,70.21,49.41,83.8,17.54,69.21,21.89,0.324,48994.86,31.73
Southern Asia,2023,33813589,13.89,469670.75,63.26,31.27,49.07,35.48,63.76,34.45,0.544,50300.91,96.78
Central Asia,2021,101814441,26.4,2687901.24,39.96,14.55,12.13,31.69,11.96,19.96,0.285,38619.58,66.26
Latin America and the Caribbean,2021,125504540,7.62,956344.59,67.73,30.47,23.61,19.29,57.05,19.31,0.086,61647.54,24.2
Sub Saharan Africa,2021,188301935,23.2,4368604.89,56.41,5.22,10.09,36.15,41.6,28.49,0.583,,64.86
Central Asia,2020,221227911,15.45,3417971.22,20.88,4.79,47.15,22.07,56.67,0.96,0.76,2600.98,85.38
Latin America and the Caribbean,2023,121227385,23.05,2794291.22,47.38,24.77,8.97,23.72,29.92,2.21,0.487,49039.6,77.29
Eastern Asia,2024,188840171,29,5476364.96,28.9,20.06,26.07,29.07,44.89,3,0.744,7789.12,93.2
Northern America,2021,132352561,28.33,3749548.05,68.33,41.45,44.99,14.68,60.04,1.74,0.322,66956.98,36.05
Northern Africa,2024,236118024,28.42,6710474.24,19.43,10.69,86.17,11.79,44.94,13.47,0.514,65463.08,84.75
Central Asia,2020,3778691,18.47,69792.42,65.18,11.95,21.07,37.4,22.82,2.08,0.654,35850.37,91.99
Latin America and the Caribbean,2021,34430850,9.32,320895.52,73.74,6.17,15.96,29.56,67.29,14.05,0.244,66443.42,97.06
Western Asia,2022,112081649,11.03,1236260.59,27.14,5.32,13.23,34.8,31.98,22.74,0.541,unknown,21.78
Western Asia,2024,185449327,9.08,1683879.89,48.31,27.67,15.55,30.94,23.07,26.94,0.72,21194.4,
Sub Saharan Africa,2021,199242917,11.32,2255429.82,25.7,5.27,83.23,32.03,66.36,21.55,0.011,19376.33,16.66
South-Eastern Asia,2022,80763619,2.7,218061.77,53.52,11.65,65.96,12.25,19.82,24.22,0.428,65402.23,
Eastern Asia,2024,182115732,11.72,2134396.38,,68.24,24.12,28.52,57.87,25.13,0.559,54325.73,62.56
South-Eastern Asia,2020,116492595,18.02,2099196.56,69.44,67.87,39.08,22.88,56.84,28.34,0.851,16961.87,18.92
Oceania,2020,183733996,8.32,1528666.85,84.97,76.04,58.91,28.72,15.4,5.9,0.724,28806.88,84.65
Latin America and the Caribbean,2024,157872418,19.08,3012205.74,59.97,57.3,57.75,29.43,14.25,22.12,0.536,25276.6,67.84
Latin America and the Caribbean,2022,49672471,20.61,1023749.63,38.65,18.98,78.57,26.88,45.3,12.26,0.559,15187.34,23.8
Eastern Asia,2022,128004257,16.77,2146631.39,52.78,36.02,64.75,30.7,11.67,10.53,0.303,73561.21,69.55
Sub-Saharan Africa,2023,210177819,20.2,4245591.94,11.78,3.15,38.29,31.35,62.61,7.05,0.885,55738.9,59.68
Southern Asia,2021,245198029,16.29,3994275.89,19.4,8.54,10.07,14.04,46.21,19.75,0.36,50981.54,72.38
Southern Asia,2024,99881764,10.95,1093705.32,,3.66,77.88,22.31,10.9,25.69,0.398,6824.08,15.31
Oceania,2023,106126116,12.48,1324453.93,82.6,9.23,86.41,12.66,19.48,12.29,0.872,72407.36,38.64
Northern Africa,2020,30099597,19.38,583330.19,80.34,25.6,81.59,27.27,9.99,3.16,0.751,9939.48,92.17
Northern Africa,2024,217700438,4.01,872978.76,21.44,20.15,91.81,36.38,14.29,6.83,0.589,8828.97,40.59
South-Eastern Asia,2022,43752833,-4.39,192074.94,83.27,35.85,45.2,33.57,13.01,15.44,0.561,65543.45,62.92
Sub-Saharan Africa,2023,232269399,17.65,4099554.89,40.68,16.01,3.24,12.84,8.43,30.86,0.322,27614.52,25.8
Europe,2020,61886370,11.59,717263.03,54.81,38.57,42.03,35.62,63.67,20.72,0.531,77081.32,61.44
Oceania,2021,106276226,11.87,1261498.8,70.68,32.79,57.7,17.46,44,21.36,0.208,42658.14,34.88
South-Eastern Asia,2020,6844740,25.6,175225.34,80.58,18.02,11.31,10.1,64.9,24.57,0.811,69195.4,58.17
Europe ,2020,33448442,27.24,911135.56,76.91,5.53,88.06,38.63,46.55,17.04,0.778,55700.54,45.16
Eastern Asia,2024,174784107,23.58,4121409.24,43.93,3.97,16.11,25.42,19.86,29.5,0.76,54773.22,20.2
South-Eastern Asia,2022,131410624,14.86,1952761.87,38.05,36.38,77.47,22.19,20.85,23.6,0.496,27325.62,35.85
Southern Asia,2022,121809816,9.53,1160847.55,,54.13,5.24,29.37,51.36,25.47,0.782,23615.65,60.97
Latin America and the Caribbean,2023,191895984,20.97,4024058.78,22.3,18.91,29.14,29.95,7.13,10.97,0.844,50075.44,42.49
Northern America,2024,109238738,27.26,2977848,66.26,23.33,62.3,24.81,26.36,7.54,0.717,45764.7,51.14
Northern America,2024,222223778,3.04,675560.29,47.29,8.95,9.9,17.29,57.29,16.93,0.335,29778.51,48.21
Central Asia,2023,224786833,27.38,6154663.49,,26.19,55.68,34.34,18.17,6.89,0.048,24210.38,83.64
Oceania,2021,169880706,7.66,1301286.21,40.77,18.1,90.77,17.1,57.8,33.06,0.234,78770.5,
Northern Africa,2024,237776653,10.4,2472877.19,14.78,14.39,51.52,30.26,57.5,9.65,0.207,863.98,31.74
Eastern Asia,2024,210654626,20.93,4409001.32,52.59,30.26,13.94,11.03,40.82,14.81,0.027,7041.56,33.68
Eastern Asia,2022,157252640,16.39,2577370.77,9.48,7.87,53.26,28.17,30.4,33.09,0.46,31664.15,56.02
Latin America and the Caribbean,2022,133873905,28.08,3759179.25,,6.3,75.29,29.48,39.17,29.05,0.521,41657.24,44.6
South-Eastern Asia,2021,5263832,29.98,157809.68,36.7,26.23,16.6,30.26,41.66,11.97,0.533,9085.92,83.09
South-Eastern Asia,2022,214400031,18.01,3861344.56,35.59,6.65,66.46,15.29,30.01,0.98,0.326,29003.56,82.01
Central Asia,2021,165113023,11.16,1842661.34,33.63,28.5,96.68,31.76,63.56,5.15,0.781,33579.13,26.84
South-Eastern Asia,2020,19257324,-16.5,317745.85,84.01,24.72,70.07,22.25,49.1,10.32,0.984,64106.1,30.54
Latin America and the Caribbean,2020,36427506,3.69,134417.5,69.23,41.67,32.48,13.77,33.07,1.4,0.97,44964.27,84.37
Latin America and the Caribbean,2020,142321988,19.62,2792357.4,65.66,22.17,33.9,30.83,61.86,10.7,0.979,40350.33,91.83
South-Eastern Asia,2021,206710416,11.46,2368901.37,60.02,30.35,72.28,11.65,18.45,9.54,0.912,unknown,55.7
Central Asia,2020,7140196,21.04,150229.72,23.52,9.79,36.93,36.87,55.83,14.83,0.727,43132.72,
Central Asia,2021,107750151,11.18,1204646.69,27.82,13.7,90.34,39.1,32.63,11.38,0.949,67581.18,31.21
Oceania,2020,181444027,5.66,1026973.19,38.64,38.12,7.15,27.16,19.17,17.85,0.856,24176.96,76.71
Latin America and the Caribbean,2024,134376260,5.08,682631.4,14.54,4.54,84.24,11.34,43.33,14.82,0.763,32149.37,42.44
Latin America and the Caribbean,2021,44382924,29.03,1288436.28,32.55,11.45,24.94,33.81,49.43,24.43,0.997,58051.3,66.3
Europe ,2021,94364380,7.27,686029.04,60.49,4.92,38.27,16.44,31.53,11.32,0.287,12697.1,86.16
Sub-Saharan Africa,2021,200639761,17.67,3545304.58,,47.79,88.63,34.58,65.77,4.67,0.907,23661.34,79.57
Sub Saharan Africa,2022,13843037,10.03,138845.66,13.57,3.03,78.4,28.1,55.97,18.45,0.596,57459.95,32.59
Southern Asia,2022,160966501,2.52,405635.58,69.7,21.9,98.44,34.07,40.21,6.45,0.793,31913.16,64.44
South-Eastern Asia,2022,71740761,24.91,1787062.36,69.74,48.93,21.37,17.31,22.97,13.09,0.353,17893.77,78.26
Central Asia,2024,207470028,12.25,2541507.84,26.27,15.7,32.85,15.43,13.17,24.66,0.994,33780.14,56.85
Eastern Asia,2024,73645207,24.47,1802098.22,67.79,12.69,47.59,38.81,29.54,2.68,0.946,57370.26,70.2
Latin America and the Caribbean,2022,75758687,16.31,1235624.18,26.12,14.48,26.98,21.16,20.76,25.13,0.897,27466.95,49.32
Latin America and the Caribbean,2020,157073075,2.28,358126.61,24.28,24.05,36.43,26.27,69.1,19.53,0.782,49089.17,72
Oceania,2023,214634895,5.78,1240589.69,71.65,27.65,7.33,32.19,35.53,7.78,0.164,14308.98,90.78
Northern America,2023,211309638,21.29,4498782.19,54.31,9.09,49.58,13.48,68.3,25.47,0.166,40639.85,79.72
Northern Africa,2020,59841369,21.59,1291975.16,31.76,24.71,55.65,23.22,53.51,21.56,0.178,57029.02,
Northern America,2020,84110450,16.7,1404644.51,6.56,4.51,33.12,35.95,65.14,32.47,0.9,62399.73,
Central Asia,2020,107577976,27.52,2960545.9,38.87,11.65,52.4,38.62,47.76,2.37,0.699,39278.03,52.37
Europe,2024,N/A,14.05,2183313.13,75.73,13.22,77.36,38.37,7.4,10.61,0.151,27979,76.44
South-Eastern Asia,2022,173180482,25.75,4459397.41,80.89,77.99,58.82,15.01,54.63,23.06,0.838,1452.89,27.72
Oceania,2024,10853477,3.72,40374.93,57.02,43.74,19.75,30.15,61.63,30.15,0.286,76323.69,32.68
Northern America,2021,117215856,24.77,2903436.75,20.8,5.01,8.65,25.66,17.69,32.49,0.885,75647.05,38.54
Northern Africa,2021,196481838,8.06,1583643.61,33.51,23.99,69.8,17.57,21.82,7.47,0.175,55615.21,70.77
Europe,2024,130904903,16.17,2116732.28,46.88,19.07,66.73,26.46,41.4,11.77,0.335,17952.75,81.4
Latin America and the Caribbean,2022,88815969,14.77,1311811.86,52.95,7.2,79.47,24.16,22.13,16.39,0.702,63738.1,47.8
Europe,2024,157214604,27.44,4313968.73,47.04,4.78,18.55,10.42,21.21,21.05,0.815,26143,51.42
Central Asia,2023,15364763,15.38,236310.05,83.93,76.36,34.03,25.39,44.78,10.72,0.12,31957.9,15.38
Oceania,2020,126403466,16.55,2091977.36,8.49,6.46,31.56,27.83,32.8,16.29,0.953,26848.86,26.81
Central Asia,2023,14280587,-10.38,148232.49,73.3,72,55.37,14.46,54.78,22.89,0.857,64889.36,80.61
Northern Africa,2021,170288353,29.14,4962202.61,60.29,46.04,15.31,33.87,49.43,14.21,0.76,5635.15,69.93
Latin America and the Caribbean,2021,226856614,29.49,6690001.55,5.97,4.41,56.65,30.39,48.55,21.93,0.021,52733.08,72.39
South-Eastern Asia,2021,182764848,12.2,2229731.15,34.86,17.88,60.92,20.02,69.71,32.9,0.102,57687.03,27.61
Northern America,2021,151862974,9.09,1380434.43,52.75,36.81,82.73,34.3,42.26,34.63,0.069,6229.41,30.49
Northern Africa,2024,143337753,-4.28,613485.58,75.99,67.22,17.42,14.66,5.64,9.39,0.004,33225.46,35.49
Western Asia,2021,179018906,12.93,2314714.45,80.76,77.24,66.98,34.84,16.46,30.48,0.593,61345.4,35.62
Northern America,2022,234329117,17.84,4180431.45,43.42,11.2,69.24,31.84,38.22,7.3,0.853,40056.63,80.27
Northern Africa,2023,83493726,23.89,1994665.11,,54.33,24.38,31.55,40.84,8.01,0.061,72829.26,
Central Asia,2021,115443949,22.1,2551311.27,68.09,29.44,2.99,18.77,6.65,23.35,0.205,1897.57,44.66
Europe,2022,64611372,24.37,1574579.14,12.6,12.42,79.48,33.61,47.3,23.8,0.074,44064.36,28.66
Northern America,2022,222616600,29.54,6576094.36,81.94,61.99,75.69,17.67,61.48,19.1,0.538,75916.95,33.7
Northern America,2022,104855449,27.05,2836339.9,,19.7,66.6,29.18,43.75,16.65,0.511,28844.59,54.84
Oceania,2020,40071041,21.48,860725.96,12.31,6.58,3.83,15.03,22.25,9.81,0.32,unknown,61.23
Southern Asia,2022,125336455,8.26,1035279.12,37.78,11.48,57.52,23.03,33.38,4.27,0.141,46622.27,27.18
Latin America and the Caribbean,2020,15364660,24.99,383962.85,48.52,22.35,35.24,15.24,28.34,0.07,0.818,27084.31,55.58
Latin America and the Caribbean,2023,166070995,18.36,3049063.47,33.96,7.31,43.44,15.68,27.44,9.64,0.028,71385.91,
Sub Saharan Africa,2021,8661361,13.66,118314.19,13.34,9.2,39.37,31.25,51.82,8.44,0.284,14035.81,55.06
Northern America,2023,161349422,4.47,721231.92,65.46,38.43,38.61,23.39,45.98,15.76,0.054,9821.2,16.47
Central Asia,2024,239827269,13.93,3340793.86,20.74,15.15,16.58,14.93,53.39,26.7,0.943,24477.63,28.14
South-Eastern Asia,2020,202233621,21.79,4406670.6,58.05,22.09,62.9,24.03,54.99,7.53,0.948,66438.51,33.89
Latin America and the Caribbean,2024,214961854,28.43,6111365.51,49.9,11.17,32.46,13.73,28.54,14.97,0.527,48942.92,76.54
Sub Saharan Africa,2020,110213529,26.16,2883185.92,62.78,57.07,12.29,16.84,37.96,19.21,0.988,62393.51,51.3
Eastern Asia,2024,193984837,21.76,4221110.05,78.28,33.96,83.66,19.6,6.41,27.67,0.325,50811.46,18.48
Oceania,2021,173517136,20.38,3536279.23,19.91,11.12,17.07,27.25,35.98,10.54,0.908,23435.24,43.21
Latin America and the Caribbean,2020,116431688,18.18,2116728.09,18.48,4.62,56.26,20.29,62.97,5.83,0.774,48812.61,47.02
Latin America and the Caribbean,2021,77025098,15.07,1160768.23,30.59,13.09,99.67,21.1,38.16,21.67,0.894,38770.42,97.43
Oceania,2022,25863344,21.2,548302.89,5.2,4.58,90.91,35.23,26.27,1.7,0.259,12985.25,16.67
South-Eastern Asia,2023,229427671,7.34,1683999.11,49.76,25.78,28.96,39.33,53.32,23.15,0.601,54290.4,93.92
Western Asia,2020,11816706,16.31,192730.47,81.77,52.67,45.52,12.61,45,9.82,0.562,62689.46,31.57
Sub-Saharan Africa,2023,82572347,17.31,1429327.33,84.95,29.43,8.31,10.76,28.74,27.64,0.522,72416.44,47.06
Oceania,2020,164497388,26.79,4406885.02,76.51,49.58,91.16,18.01,12.29,10.18,0.153,33396.06,28.32
Latin America and the Caribbean,2024,96818893,9.76,944952.4,25.6,18.61,25.47,32.37,57.28,3.77,0.964,79290.38,68.67
Sub Saharan Africa,2022,98503808,7.13,702332.15,10.82,5.89,47.73,17.42,46.7,21.77,0.004,23483.93,85.29
Sub-Saharan Africa,2023,234688816,11.57,2715349.6,32.83,18.24,24.22,23.95,43.54,8.62,0.93,69169.89,54.67
Northern America,2024,193052090,13.78,2660257.8,18.71,17.04,76.44,18.89,37.51,3.18,0.706,45849.58,37.96
Oceania,2023,189316912,23.45,4439481.59,12.83,4.27,72.27,24.52,49.95,31.11,0.323,4653.1,46.65
Northern Africa,2024,88318995,4.03,355925.55,62.1,30.63,53.11,28.68,5.59,14.24,0.815,67309.29,31.87
Eastern Asia,2021,108196753,7.94,859082.22,48.38,28.03,61.67,36.05,9.09,13.25,0.451,61145.88,28.1
Central Asia,2021,131731643,26.16,3446099.78,27.89,7.54,86.7,37.43,43.31,21.15,0.701,11175.13,22.94
Europe,2023,217383528,23.37,5080253.05,20.48,9,82.32,36.01,65.41,9.62,0.046,76013.16,55.91
Latin America and the Caribbean,2023,229581902,16.2,3719226.81,84.58,15.9,76.54,11.74,12.31,4.77,0.551,68486.2,77.85
South-Eastern Asia,2024,121934100,-18.18,2216761.94,76.39,67.01,77.27,26.58,29.75,8.02,0.146,69514.08,69.09
Sub-Saharan Africa,2022,239606341,17.92,4293745.63,37.65,25.52,58.53,31.86,40.38,3.85,0.176,2129.88,60.88
Oceania,2023,130465406,17.66,2304019.07,46.37,25.59,11.18,23.52,35.19,14.58,0.019,57762.08,44.69
Eastern Asia,2021,140399149,23.5,3299380,48.03,19.39,82.82,22.11,47.27,13.01,0.768,,37.02
Europe,2023,10307506,27.84,286960.97,16.82,7.74,16.88,36.32,31.74,5.41,0.204,39756.83,
Western Asia,2021,210058112,14.46,3037440.3,27.17,9.77,8.65,27.52,35.73,24.59,0.462,72924.99,17.75
Latin America and the Caribbean,2020,5968797,27.11,161814.09,57.32,3.87,70.29,24.15,43.06,21.01,0.292,17379.96,72.2
Latin America and the Caribbean,2020,218691948,14.45,3160098.65,9.71,8,78.37,25.41,40.68,21.3,0.728,,21.97
Western Asia,2022,166469528,15.18,2527007.44,40.98,25.1,93.98,17.55,55.77,14.6,0.192,3899.12,81.54
Southern Asia,2022,109272283,21.07,2302367,30.64,3.04,55.81,38.69,16.84,30.88,0.229,79464.93,15.1
Northern America,2024,157038029,3.21,504092.07,22.28,9.08,21.99,23.45,20.28,33.27,0.865,24689.48,24.18
Europe ,2020,1816207,27.46,49873.04,12.54,7.04,35.62,32,36,2.01,0.944,74838.12,78.04
Sub-Saharan Africa,2021,60021631,8.04,482573.91,71.85,56.35,39.68,33.68,54.22,3.11,0.49,71211.99,93.06
Northern America,2023,226242574,9.42,2131205.05,19.08,16.24,79.81,30.98,41.45,19.01,0.225,10723.78,35.74
Sub Saharan Africa,2023,N/A,28.78,1290755.46,42.78,42.46,12.5,29.16,35.79,10.73,0.71,8071.1,15.53
Oceania,2020,142457696,11.13,1585554.16,77.74,54.96,93.45,25.5,67.27,28.22,0.324,74726.31,68.92
Sub-Saharan Africa,2023,126729121,21.78,2760160.26,81.65,32.71,60.26,34.93,64.4,26.58,0.196,48398.92,18.01
Northern Africa,2021,93956843,9.02,847490.72,44,20.16,83.74,36.57,27.99,25.6,0.753,43377.59,61.27
Europe,2023,202657502,6.68,1353752.11,50.42,42.8,68.95,24.99,65.38,19.69,0.214,,61.81
South-Eastern Asia,2021,58165561,-27.25,1585011.54,12,5.69,98,37.5,35.22,24.01,0.675,47648.25,88.66
Northern America,2024,184658120,28.08,5185200.01,23.98,21.42,36.58,15.54,25.14,29.12,0.555,38632.09,94.46
Western Asia,2024,230755927,21.65,4995865.82,45.99,26.27,41.94,27.61,9.63,11.55,0.914,61459.23,83.73
Eastern Asia,2023,3634461,20.43,74252.04,35.28,6.24,64.61,22.9,41.48,24.32,0.18,52764.83,42.66
Northern America,2023,215855813,12.35,2665819.29,20.93,17.54,58.76,27.2,33.16,0.75,0.581,69086.69,88.04
Eastern Asia,2022,148799345,12.28,1827255.96,43,33.85,33.98,28.61,69.12,10.63,0.845,35337.69,42.97
Northern America,2020,179997183,10.34,1861170.87,14.01,10.04,54.4,35.45,26.32,31.36,0.404,76391.42,17.62
Northern Africa,2022,231350634,21.52,4978665.64,66.27,16.27,60.44,25.29,44.22,11.76,0.721,37913.11,76.55
Europe,2021,142905475,23.16,3309690.8,84.3,45.37,99.42,11.27,59.03,25.56,0.65,37141.46,31.6
Latin America and the Caribbean,2021,65189652,21.62,1409400.28,41.38,32,93.05,24.09,15.1,2.39,0.351,42533.17,30.45
South-Eastern Asia,2022,180604746,7.82,1412329.11,150,53.88,18.96,16.86,56.78,17.52,0.613,17723.66,39.23
Latin America and the Caribbean,2020,5809602,15.2,88305.95,79.72,21.46,46.81,14.43,61.62,12.01,0.249,7633.77,73.81
Central Asia,2021,127608932,8.76,1117854.24,54.6,33.89,94.88,10.88,20.64,2.89,0.36,45959.8,27.25
Northern America,2021,70669643,3.74,264304.46,40.11,30.74,71.3,28.92,36.78,20.17,0.44,76747.04,97.92
Western Asia,2022,68317938,24.51,1674472.66,54.23,33.74,79.92,26.99,42.6,16.23,0.374,66629.93,43.07
Europe,2022,77203524,10.45,806776.83,150,35.77,21.32,19.83,12.9,13.75,0.892,61453.14,78.47
Northern Africa,2022,132302117,5.3,701201.22,150,6.26,14.13,22.25,58.34,18.96,0.41,37791.11,63.08
Western Asia,2023,181939990,21.56,3922626.18,65.93,16.53,12.02,34.61,60.85,28.89,0.895,7161.89,84.14
Latin America and the Caribbean,2023,243531951,15.95,3884334.62,64.35,43.25,79.31,23.31,69.43,8.22,0.812,29155.36,79.15
Oceania,2021,244436129,9.68,2366141.73,38.33,27.9,66.43,27.86,24.1,16.13,0.833,45169.72,48.57
Northern Africa,2022,80534288,29.7,2391868.35,13.71,8.49,0.18,28.63,25.08,31.38,0.947,20108.41,69.59
Central Asia,2023,29144486,2.89,84227.56,45.91,17.68,94.9,10.93,17.22,17.99,0.487,44910.45,84.2
Sub-Saharan Africa,2023,94180514,24.55,2312131.62,58.13,34.65,64.85,11.75,11.88,5.13,0.484,26425.43,96.99
Eastern Asia,2020,147416547,11.92,1757205.24,41.18,18.43,4.1,31.22,37.98,29.43,0.361,44978.03,47.66
Northern America,2024,18616551,13.58,252812.76,80.67,25.6,52.45,14.66,64.42,28.8,0.015,33146,40.19
Europe,2023,99064056,22.32,2211109.73,37.98,33.79,82.89,34.76,50.5,6.27,0.024,50677.57,31.56
Northern Africa,2021,203496108,11.29,2297471.06,44.78,30.43,72.22,16.78,49.49,32.62,0.226,58614.97,26.26
Northern America,2024,70022414,15.66,1096551,53.52,37.29,58.02,26.56,61.74,26.72,0.803,77919.15,63.3
